CSV file
[Jul.15 -- < arjona@uma.es >
SeqX filename		: MH232.fasta
SeqY filename		: MH7422.fasta
SeqX name		: MH232
SeqY name		: MH7422
SeqX length		: 892758
SeqY length		: 898495
Min.fragment.length	: 54
Min.Identity		: 70.08
Total hits		: 0
Total hits (used)		: 0
Total fragments		: 798
Total CSBs:		: 798
frag/CSB,xStart,yStart,xEnd,YEnd,strand,block,length,score,ident,similarity,identity,geneX,geneY
========================================================
CSB,26560,431904,27167,432511,f,0,608,984,427,40.46,0.00,0,0,1,0
Frag,26560,431904,27167,432511,f,0,608,984,427,40.46,70.23,0,0,0,0
CSB,417691,820208,417780,820297,f,0,90,288,81,80.00,0.00,0,0,1,1
Frag,417691,820208,417780,820297,f,1,90,288,81,80.00,90.00,0,0,1,1
CSB,417553,820068,417695,820210,f,0,143,476,131,83.22,0.00,0,0,1,2
Frag,417553,820068,417695,820210,f,2,143,476,131,83.22,91.61,0,0,2,2
CSB,28054,422234,28172,422352,f,0,119,308,98,64.71,0.00,0,0,1,3
Frag,28054,422234,28172,422352,f,3,119,308,98,64.71,82.35,0,0,3,3
CSB,28078,408645,28150,408717,f,0,73,252,68,86.30,0.00,0,0,1,4
Frag,28078,408645,28150,408717,f,4,73,252,68,86.30,93.15,0,0,4,4
CSB,21716,383226,22336,383846,f,0,621,1060,443,42.67,0.00,0,0,1,5
Frag,21716,383226,22336,383846,f,5,621,1060,443,42.67,71.34,0,0,5,5
CSB,22146,381296,22330,381480,f,0,185,388,141,52.43,0.00,0,0,1,6
Frag,22146,381296,22330,381480,f,6,185,388,141,52.43,76.22,0,0,6,6
CSB,24162,383236,24763,383837,f,0,602,1016,428,42.19,0.00,0,0,1,7
Frag,24162,383236,24763,383837,f,7,602,1016,428,42.19,71.10,0,0,7,7
CSB,28034,384757,28167,384890,f,0,134,352,111,65.67,0.00,0,0,1,8
Frag,28034,384757,28167,384890,f,8,134,352,111,65.67,82.84,0,0,8,8
CSB,24582,381296,24767,381481,f,0,186,368,139,49.46,0.00,0,0,1,9
Frag,24582,381296,24767,381481,f,9,186,368,139,49.46,74.73,0,0,9,9
CSB,26553,383226,27166,383839,f,0,614,1040,437,42.35,0.00,0,0,1,10
Frag,26553,383226,27166,383839,f,10,614,1040,437,42.35,71.17,0,0,10,10
CSB,26983,381296,27167,381480,f,0,185,372,139,50.27,0.00,0,0,1,11
Frag,26983,381296,27167,381480,f,11,185,372,139,50.27,75.14,0,0,11,11
CSB,26517,380827,26982,381292,f,0,466,752,327,40.34,0.00,0,0,1,12
Frag,26517,380827,26982,381292,f,12,466,752,327,40.34,70.17,0,0,12,12
CSB,30243,381296,30428,381481,f,0,186,336,135,45.16,0.00,0,0,1,13
Frag,30243,381296,30428,381481,f,13,186,336,135,45.16,72.58,0,0,13,13
CSB,32681,381296,32865,381480,f,0,185,316,132,42.70,0.00,0,0,1,14
Frag,32681,381296,32865,381480,f,14,185,316,132,42.70,71.35,0,0,14,14
CSB,389631,737657,389703,737729,f,0,73,252,68,86.30,0.00,0,0,1,15
Frag,389631,737657,389703,737729,f,15,73,252,68,86.30,93.15,0,0,15,15
CSB,395780,737442,395900,737562,f,0,121,340,103,70.25,0.00,0,0,1,16
Frag,395780,737442,395900,737562,f,16,121,340,103,70.25,85.12,0,0,16,16
CSB,106207,398463,106391,398647,f,0,185,340,135,45.95,0.00,0,0,1,17
Frag,106207,398463,106391,398647,f,17,185,340,135,45.95,72.97,0,0,17,17
CSB,106206,396051,106397,396242,f,0,192,368,142,47.92,0.00,0,0,1,18
Frag,106206,396051,106397,396242,f,18,192,368,142,47.92,73.96,0,0,18,18
CSB,360783,605191,361163,605571,f,0,381,612,267,40.16,0.00,0,0,1,19
Frag,360783,605191,361163,605571,f,19,381,612,267,40.16,70.08,0,0,19,19
CSB,386388,511939,386548,512099,f,0,161,364,126,56.52,0.00,0,0,1,20
Frag,386388,511939,386548,512099,f,20,161,364,126,56.52,78.26,0,0,20,20
CSB,385121,510661,385455,510995,f,0,335,692,254,51.64,0.00,0,0,1,21
Frag,385121,510661,385455,510995,f,21,335,692,254,51.64,75.82,0,0,21,21
CSB,385572,497129,385766,497323,f,0,195,508,161,65.13,0.00,0,0,1,22
Frag,385572,497129,385766,497323,f,22,195,508,161,65.13,82.56,0,0,22,22
CSB,385572,496309,385766,496503,f,0,195,532,164,68.21,0.00,0,0,1,23
Frag,385572,496309,385766,496503,f,23,195,532,164,68.21,84.10,0,0,23,23
CSB,332327,441152,332417,441242,f,0,91,228,74,62.64,0.00,0,0,1,24
Frag,332327,441152,332417,441242,f,24,91,228,74,62.64,81.32,0,0,24,24
CSB,410808,508239,410924,508355,f,0,117,212,85,45.30,0.00,0,0,1,25
Frag,410808,508239,410924,508355,f,25,117,212,85,45.30,72.65,0,0,25,25
CSB,349074,434753,349250,434929,f,0,177,348,132,49.15,0.00,0,0,1,26
Frag,349074,434753,349250,434929,f,26,177,348,132,49.15,74.58,0,0,26,26
CSB,369318,422260,369395,422337,f,0,78,240,69,76.92,0.00,0,0,1,27
Frag,369318,422260,369395,422337,f,27,78,240,69,76.92,88.46,0,0,27,27
CSB,393010,440738,393120,440848,f,0,111,372,102,83.78,0.00,0,0,1,28
Frag,393010,440738,393120,440848,f,28,111,372,102,83.78,91.89,0,0,28,28
CSB,369466,415702,369544,415780,f,0,79,252,71,79.75,0.00,0,0,1,29
Frag,369466,415702,369544,415780,f,29,79,252,71,79.75,89.87,0,0,29,29
CSB,369376,415610,369467,415701,f,0,92,240,76,65.22,0.00,0,0,1,30
Frag,369376,415610,369467,415701,f,30,92,240,76,65.22,82.61,0,0,30,30
CSB,641570,683163,641686,683279,f,0,117,372,105,79.49,0.00,0,0,1,31
Frag,641570,683163,641686,683279,f,31,117,372,105,79.49,89.74,0,0,31,31
CSB,507313,547963,507454,548104,f,0,142,424,124,74.65,0.00,0,0,1,32
Frag,507313,547963,507454,548104,f,32,142,424,124,74.65,87.32,0,0,32,32
CSB,506943,546522,507306,546885,f,0,364,672,266,46.15,0.00,0,0,1,33
Frag,506943,546522,507306,546885,f,33,364,672,266,46.15,73.08,0,0,33,33
CSB,506956,546534,507117,546695,f,0,162,568,152,87.65,0.00,0,0,1,34
Frag,506956,546534,507117,546695,f,34,162,568,152,87.65,93.83,0,0,34,34
CSB,369317,408646,369388,408717,f,0,72,224,64,77.78,0.00,0,0,1,35
Frag,369317,408646,369388,408717,f,35,72,224,64,77.78,88.89,0,0,35,35
CSB,401998,441002,402095,441099,f,0,98,344,92,87.76,0.00,0,0,1,36
